https://product.suning.com/0070216052/11403698263.html
imgservice.suning.cn/uimg1/b2c/image/gcxcwEqlGHR395SIRy4UQw.jpg_800w_800h_4e
【2019新款】 Apple/苹果 iPhone11 256G 黑色 美版有锁 裸机 电信4G 智能手机
4880.00
0
0
0
0
0
0
品牌	Apple
型号	iphone11
上市时间	2019年
手机操作系统	IOS
系统版本	以官网信息为准
摄像头类型	前单+后双
前摄像头	1200万像素
后摄像头	1200万像素
拍照特点	滤镜,美颜,防抖,自动对焦,场景模式,全景
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	LED
屏幕尺寸	6.1英寸
屏幕分辨率	其他
屏幕材质	SLCD
屏幕像素密度（ppi）	326
触摸工艺	其他
屏占比	91.4%
颜色	黑色
机身长度	150.9毫米
机身宽度	75.7毫米
机身厚度	8.3毫米
重量	194克
机身材质	玻璃
CPU品牌	以官方信息为准
CPU型号	A13
CPU频率	以官方信息为准
CPU核数	八核
GPU	A13
5G网络制式	不支持
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	NanoSIM卡
4G网络制式	电信4G
3G网络制式	电信3G
2G网络制式	电信2G
网络频率	以官网信息为准
待机模式	单卡单模
是否支持同时使用联通卡	不支持
机身内存	256GB
运行内存	4GB
存储卡类型	不支持
最大存储扩展	不支持
电池容量	3110mAh
无线充电	支持
快充功能	不支持
电池更换	不支持
理论待机时间	12小时
电池类型	聚合物锂电池
理论通话时间	500分钟
数据传输接口	WIFI,蓝牙
NFC（近场通讯）	以官网信息为准
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
蓝牙版本	蓝牙5.0
指纹识别	不支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	不支持
电子罗盘	支持
3D加速	支持
OTG	支持
运营商标识	无
选购热点	女性手机,大屏手机,游戏手机,拍照手机,后置双摄,玻璃机身,面部识别,超薄机身
***
