https://product.suning.com/0070768200/11502096718.html
imgservice.suning.cn/uimg1/b2c/image/tYcyi6F_KF2O7XNt3PHXMg.png_800w_800h_4e
华为(HUAWEI) 华为 Mate 30 Pro 5G版 8GB+512GB 罗兰紫 超曲面环幕屏 麒麟990智慧芯片 4000万徕卡四摄 移动联通电信5G全网通手机
6999.00
0
0
0
0
0
0
品牌	华为(HUAWEI)
型号	Mate30Pro5G
上市时间	2019年10月
入网许可证号	00-5043-199060
手机操作系统	Android
系统版本	Android
摄像头类型	其他
前摄像头	3200万像素
后摄像头	4000+4000+800万像素
拍照特点	自动对焦,连拍,全景,场景模式
前摄光圈大小	f/2.0光圈
后摄光圈大小	其他
闪光灯类型	支持
传感器类型	×&nbsp;&nbsp;&nbsp;&nbsp;与传统相机相比，传统相机使用“胶卷”作为其记录信息的载体，而数码相机的“胶卷”就是其成像感光元件，而且是与相机一体的，是数码相机的心脏。感光器是数码相机的核心，也是最关键的技术。目前数码相机的核心成像部件有两种：一种是广泛使用的CCD（电荷藕合）元件；另一种是CMOS（互补金属氧化物导体）器件。其他
屏幕尺寸	6.53英寸
屏幕分辨率	2400×1176
屏幕材质	OLED
触摸工艺	其他
颜色	罗兰紫
机身长度	158.1毫米
机身宽度	73.1毫米
机身厚度	8.8毫米
重量	198克
机身材质	其它
CPU品牌	海思（Hisilicon）
CPU型号	HUAWEIKirin9905G(麒麟9905G)
CPU频率	2*Cortex-A76Based2.86GHz+2*Cortex-A76Based2.09GHz+4*Cortex-A551.86GHz
CPU核数	八核
GPU	以官网信息为准
5G网络制式	联通5G,电信5G,全网通5G,移动5G
双卡机类型（单卡/双卡）	双卡双待
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	移动4G,联通4G,电信4G,全网通
3G网络制式	移动3G,电信3G,联通3G
2G网络制式	电信2G,移动2G/联通2G,移动2G,联通2G
网络频率	以官网信息为准
待机模式	双卡双待
副SIM卡尺寸	NanoSIM卡
副SIM卡4G网络制式	移动4G,联通4G,电信4G
副SIM卡3G网络制式	移动3G,电信3G,联通3G
副SIM卡2G网络制式	电信2G,移动2G/联通2G,移动2G,联通2G
是否支持同时使用联通卡	以官网信息为准
机身内存	512GB
运行内存	8GB
存储卡类型	不支持
最大存储扩展	不支持
电池容量	4500mAh
无线充电	支持
快充功能	支持
电池更换	不支持
电池类型	其他
数据传输接口	NFC,蓝牙,WIFI
NFC（近场通讯）	支持（点对点模式）；支持（读卡器模式）；支持卡模拟
耳机接口	Type-C
充电接口类型	Type-C
蓝牙版本	以官网信息为准
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
OTG	×&nbsp;&nbsp;&nbsp;&nbsp;OTG是On-The-Go的缩写，是近年发展起来的技术，主要应用于各种不同的设备或移动设备间的联接，进行数据交换。支持
运营商标识	无
选购热点	老人手机,女性手机,大屏手机,快速充电,大容量电池,Type-C,全面屏手机,国产手机,面部识别
开票单位	台
CCC认证编号	2019011606210080
生产者（制造商）名称	华为技术有限公司
***
