https://product.suning.com/0070215654/10578402444.html
imgservice.suning.cn/uimg1/b2c/image/iQeU7sSSXrfcP8O1BqKrOQ.jpg_800w_800h_4e
Apple 苹果 iPhoneXs Max（美版有锁未激活）电信4G手机 iPhoneXS Max黑色 256G
5949.00
2
3
0
0
0
0
品牌	Apple
型号	以官网信息为准
上市时间	2018年09月
入网许可证号	以官网信息为准
手机操作系统	IOS
系统版本	以官网信息为准
摄像头类型	前单+后双
前摄像头	以官网信息为准万像素
后摄像头	1200万像素
拍照特点	自动对焦,防抖,连拍,HDR
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	支持
变焦模式	数码变焦
传感器类型	其他
屏幕尺寸	6.5英寸
屏幕分辨率	其他
屏幕像素密度（ppi）	458
触摸工艺	其他
屏占比	85.14%
颜色	黑色
机身长度	157.5毫米
机身宽度	77.4毫米
机身厚度	7.7毫米
重量	208克
机身材质	玻璃
CPU品牌	以官方信息为准
CPU型号	苹果A12+M12协处理器
CPU频率	以官网信息为准
CPU核数	六核
GPU	以官网信息为准
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	MicroSIM（小卡）
4G网络制式	移动4G,电信4G,联通4G
3G网络制式	联通3G,电信3G,移动3G
2G网络制式	移动2G/联通2G,电信2G
网络频率	以官网信息为准
待机模式	单卡单模
机身内存	256GB
运行内存	以官网信息为准
存储卡类型	不支持
最大存储扩展	不支持
电池容量	3174mAh
无线充电	支持
快充功能	支持
电池更换	不支持
电池类型	锂电池
数据传输接口	NFC,蓝牙,WIFI
NFC（近场通讯）	以官网信息为准
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
蓝牙版本	蓝牙5.0
指纹识别	不支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
OTG	支持
运营商标识	无
选购热点	金属机身,超薄机身,支持NFC,大屏手机,快速充电,大容量电池,拍照手机,全面屏手机,后置双摄,玻璃机身,面部识别
***
客服人很好，很有耐心的指导我使用方法，手机也不错，已经开始使用，喜欢的朋友可以放心购买

买家没有填写评价内容！

买家没有填写评价内容！

