https://product.suning.com/0070215654/10975071544.html
imgservice.suning.cn/uimg1/b2c/image/EzFKPEplKeqjUKm_E_iBNg.jpg_800w_800h_4e
Apple 苹果 iPhoneXs Max（美版有锁未激活）电信4G手机 iPhoneXS Max白色 512G【裸机】
6788.00
0
0
0
0
0
0
品牌	Apple
型号	以官网信息为准
上市时间	2018年09月
入网许可证号	以官网信息为准
手机操作系统	IOS
系统版本	ios
摄像头类型	前单+后单
前摄像头	以官网信息为准万像素
后摄像头	1200万像素
拍照特点	防抖
前摄光圈大小	其他
后摄光圈大小	f/2.2光圈
闪光灯类型	支持
变焦模式	光学变焦
传感器类型	其他
屏幕尺寸	6.5英寸
屏幕分辨率	其他
屏幕材质	其他
屏幕像素密度（ppi）	458
触摸工艺	其他
屏占比	85.14%
颜色	白色
机身长度	175.5毫米
机身宽度	77.4毫米
机身厚度	7.7毫米
重量	208克
机身材质	其它
CPU品牌	以官方信息为准
CPU型号	苹果A12+M12协处理器
CPU频率	以官网信息为准
CPU核数	六核
GPU	--
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	NanoSIM卡
4G网络制式	电信4G,联通4G,移动4G
3G网络制式	联通3G,电信3G,移动3G
2G网络制式	移动2G/联通2G
网络频率	以官网信息为准
待机模式	单卡单模
是否支持同时使用联通卡	以官网信息为准
机身内存	512GB
运行内存	4GB
存储卡类型	不支持
最大存储扩展	不支持
电池容量	3174mAh
无线充电	支持
快充功能	支持
电池更换	不支持
电池类型	其他
数据传输接口	WIFI,蓝牙,NFC
NFC（近场通讯）	--
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	不支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	支持
电子罗盘	支持
3D加速	不支持
OTG	不支持
运营商标识	无
选购热点	后置双摄,面部识别,游戏手机,拍照手机,大容量电池,快速充电,大屏手机,支持NFC,超薄机身
***
